,N_dopant,E_formation,Ti_dopant_Ti_angle_min,Ti_dopant_Ti_angle_max,Ti_dopant_Ti_angle_mean,Ti_dopant_Ti_angle_std,dopant_Ti_distance_min,dopant_Ti_distance_max,dopant_Ti_distance_mean,dopant_Ti_distance_std,dopant_dopant_distance_min,CN_4Å_min,CN_4Å_max,CN_4Å_mean,CN_4Å_std,q_dopant_min,q_dopant_max,q_dopant_mean,q_dopant_std,q_Ti_min,q_Ti_max,q_Ti_mean,q_Ti_std,d_band_center_all,d_band_center_dopant,WF_dopant_face,WF_O_face,E_fermi,E_vacuum_dopant_face,E_vacuum_O_face
Configuration_47,23,4.6820,67.3150,83.8953,77.5146,3.8924,2.3329,2.5459,2.4280,0.0528,2.7253,1,5,2.9565,0.9991,-0.7177,-0.5793,-0.6519,0.0364,1.6714,1.9140,1.8154,0.0542,-3.917,-3.112,4.4702,5.4835,-1.5722,2.8980,3.9113
Configuration_48,24,4.7172,75.7463,81.7471,78.4949,1.7159,2.3316,2.4488,2.4044,0.0305,2.7440,1,4,2.6667,0.7454,-0.6978,-0.6423,-0.6627,0.0143,1.7837,1.9161,1.8287,0.036,-4.067,-3.253,4.1281,5.2916,-1.3158,2.8123,3.9758
Configuration_49,24,4.7116,67.2830,82.8165,77.8737,3.7810,2.3347,2.5205,2.4173,0.0438,2.7181,2,4,2.7500,0.5951,-0.7155,-0.5951,-0.6562,0.0279,1.5818,1.9134,1.8172,0.0636,-3.947,-3.154,4.3153,5.4285,-1.4594,2.8559,3.9691
Configuration_50,25,4.6630,69.2410,81.7137,77.5250,2.9029,2.3144,2.5080,2.4260,0.0392,2.7328,1,5,3.0400,0.9156,-0.7206,-0.5940,-0.6563,0.0281,1.6515,1.9225,1.8130,0.0511,-3.959,-3.184,4.3431,5.3344,-1.3854,2.9577,3.9490
Configuration_51,25,4.6720,68.9502,82.8647,77.5576,3.6952,2.3337,2.5206,2.4263,0.0416,2.7702,2,5,3.1200,0.8635,-0.7194,-0.5483,-0.6546,0.034,1.5974,1.9167,1.8114,0.0576,-5.421,-5.643,4.221,5.2871,-1.4474,2.7736,3.8397
Configuration_52,26,4.6861,68.2906,82.9461,77.4648,3.1469,2.3582,2.4937,2.4255,0.0365,2.7300,2,5,3.1538,0.7692,-0.7047,-0.5745,-0.6581,0.0257,1.6517,1.9243,1.8167,0.0579,-3.859,-3.121,4.359,5.4443,-1.4338,2.9252,4.0105
Configuration_53,26,4.6680,70.3419,82.401,77.4397,2.7907,2.351,2.5080,2.4276,0.0370,2.7360,2,5,3.3846,0.8804,-0.7019,-0.6026,-0.6578,0.0248,1.6294,1.916,1.8147,0.051,-3.884,-3.142,4.4146,5.4301,-1.4414,2.9732,3.9887
Configuration_54,27,4.6486,73.9987,79.3701,77.243,1.5757,2.3750,2.4881,2.4320,0.0293,2.7001,2,6,3.6296,1.2217,-0.7923,-0.5907,-0.6665,0.0478,1.7759,1.9248,1.8173,0.0377,-3.886,-3.195,4.3331,5.4592,-1.3907,2.9424,4.0685
Configuration_55,27,4.6599,68.6877,82.2879,77.4765,2.9619,2.3480,2.5199,2.4250,0.0352,2.7655,2,5,3.3333,0.7201,-0.7145,-0.5617,-0.6598,0.0341,1.6026,1.9147,1.8076,0.0513,-5.459,-5.654,4.2977,5.3603,-1.3315,2.9662,4.0288
Configuration_56,28,4.6573,75.6738,80.3964,77.4184,1.6751,2.3630,2.4714,2.4241,0.0266,2.7825,2,4,3.2857,0.6999,-0.7094,-0.6097,-0.6668,0.0303,1.7823,1.925,1.8138,0.0328,-3.88,-3.184,4.2734,5.3725,-1.2978,2.9756,4.0747
